index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
13,1,confessions of an invisible girl,bruno garotti,"klara castanho, lucca picon, julia gomes, marcus bessa, kiria malheiros, fernanda concon, gabriel lima, caio cabral, leonardo cidade, jade cardozo",nan,2021,tv pg,91,"children family movies, comedies","when the clever but socially awkward tete joins a new school, she ll do anything to fit in. but the queen bee among her classmates has other ideas.",1
14,0,crime stories india detectives,nan,nan,nan,2021,tv ma,1,"british tv shows, crime tv shows, docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,1
15,0,dear white people,nan,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",united states,2021,tv ma,4,"tv comedies, tv dramas",students of color navigate the daily slights and slippery politics of life at an ivy league college that s not nearly as post racial as it thinks.,2
16,1,europe s most dangerous man otto skorzeny in spain,"pedro de echave garcia, pablo azorin williams",nan,nan,2020,tv ma,67,"documentaries, international movies","declassified documents reveal the post wwii life of otto skorzeny, a close hitler ally who escaped to spain and became an adviser to world presidents.",1
17,0,falsa identidad,nan,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yanez, sonya smith, alejandro camacho, azela robinson, uriel del toro, geraldine bazan, gabriela roel, marcus ornellas",mexico,2020,tv ma,2,"crime tv shows, spanish language tv shows, tv dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug dealing enemies and her abusive husband.,1
18,1,intrusion,adam salky,"freida pinto, logan marshall green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",nan,2021,tv 14,94,thrillers,"after a deadly home invasion at a couples new dream house, the traumatized wife searches for answers and learns the real danger is just beginning.",1
19,0,jaguar,nan,"blanca suarez, ivan marcos, oscar casas, adrian lastra, francesc garrido, stefan weinert, julia moller, alicia chojnowski",nan,2021,tv ma,1,"international tv shows, spanish language tv shows, tv action adventure","in the 1960s, a holocaust survivor joins a group of self trained spies who seek justice against nazis fleeing to spain to hide after wwii.",1
20,0,monsters inside the 24 faces of billy milligan,olivier megaton,nan,nan,2021,tv 14,1,"crime tv shows, docuseries, international tv shows","in the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates america.",1
21,0,resurrection ertugrul,nan,"engin altan duzyatan, serdar gokhan, hulya darcan, kaan tasaner, esra bilgic, osman soykut, serdar deniz, cengiz coskun, reshad strik, hande subas",turkey,2018,tv 14,5,"international tv shows, tv action adventure, tv dramas","when a good deed unwittingly endangers his clan, a 13th century turkish warrior agrees to fight a sultan s enemies in exchange for new tribal land.",1
22,1,avvai shanmughi,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",nan,1996,tv pg,161,"comedies, international movies","newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray haired nanny in order to spend time with her.",1
24,1,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",india,1998,tv 14,166,"comedies, international movies, romantic movies","when the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",1
25,0,love on the spectrum,nan,brooke satchwell,australia,2021,tv 14,2,"docuseries, international tv shows, reality tv","finding love can be hard for anyone. for young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",1
26,1,minsara kanavu,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",nan,1997,tv pg,147,"comedies, international movies, music musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun and she falls for the friend he enlists to help him pursue her.,1
27,1,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",united states,2010,pg 13,103,comedies,"mourning the loss of their beloved junior high basketball coach, five middle aged pals reunite at a lake house and rediscover the joys of being a kid.",2
28,1,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",united states,2013,pg 13,97,"horror movies, sci fi fantasy","a familys idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2
29,1,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","united states, india, france",2013,pg 13,106,thrillers,"blackmailed by his company s ceo, a low level employee finds himself forced to spy on the boss s rival and former mentor.",3
30,1,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",nan,2021,tv 14,111,"dramas, independent movies, international movies","as big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",1
31,0,chicago party aunt,nan,"lauren ash, rory o malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",nan,2021,tv ma,1,tv comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood and a soft spot for her soul searching nephew.,1
32,0,sex education,nan,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams stirling, alistair petrie",united kingdom,2020,tv ma,3,"british tv shows, international tv shows, tv comedies","insecure otis has all the answers when it comes to sex advice, thanks to his therapist mom. so rebel maeve proposes a school sex therapy clinic.",2
33,0,squid game,nan,"lee jung jae, park hae soo, wi ha jun, oh young soo, jung ho yeon, heo sung tae, kim joo ryoung, tripathi anupam, you seong joo, lee you mi",nan,2021,tv ma,1,"international tv shows, tv dramas, tv thrillers","hundreds of cash strapped players accept a strange invitation to compete in children s games. inside, a tempting prize awaits with deadly high stakes.",1
35,1,the father who moves mountains,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuta, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",nan,2021,tv ma,110,"dramas, international movies, thrillers","when his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing and risk everything to find him.",1
36,1,the stronghold,cedric jimenez,"gilles lellouche, karim leklou, francois civil, adele exarchopoulos, kenza fortas, cyril lecomte, michael abiteboul, idir azougli, vincent darmuzey, jean yves berteloot",nan,2021,tv ma,105,"action adventure, dramas, international movies","tired of the small time grind, three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask.",1
38,1,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, united states",2017,pg 13,96,"action adventure, dramas","a young bruce lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a shaolin master in this film based on real events.",3
44,1,jaws the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,1987,pg 13,91,"action adventure, horror movies, thrillers","after another deadly shark attack, ellen brody has had enough of amity island and moves to the caribbean but a great white shark follows her there.",2
46,1,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, ruben blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",2012,r,115,action adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that s come under attack and get him to a securer location.,3
47,0,the smart money woman,bunmi ajakaiye,"osas ighodaro, ini dima okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",nan,2020,tv ma,1,"international tv shows, romantic tv shows, tv comedies","five glamorous millennials strive for success as they juggle careers, finances, love and friendships. based on arese ugwu s 2016 best selling novel.",1
48,1,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,2001,r,122,"dramas, thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor s questionable brand of justice.,2
49,0,castle and castle,nan,"richard mofe damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,2021,tv ma,2,"international tv shows, tv dramas","a pair of high powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",1
50,0,dharmakshetra,nan,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",india,2014,tv pg,1,"international tv shows, tv dramas, tv sci fi fantasy","after the ancient great war, the god chitragupta oversees a trial to determine who were the battle s true heroes and villains.",1
51,1,inuyasha the movie 2 the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,2002,tv 14,99,"action adventure, anime features, international movies","with their biggest foe seemingly defeated, inuyasha and his friends return to everyday life. but the peace is soon shattered by an emerging new enemy.",1
52,1,inuyasha the movie 3 swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2003,tv 14,99,"action adventure, anime features, international movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons. now the evil power of the third sword has been awakened.,1
53,1,inuyasha the movie 4 fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,2004,tv pg,88,"action adventure, anime features, international movies","ai, a young half demon who has escaped from horai island to try to help her people, returns with potential saviors inuyasha, sesshomaru and kikyo.",1
54,1,inuyasha the movie affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,2001,tv pg,100,"action adventure, anime features, international movies","a powerful demon has been sealed away for 200 years. but when the demon s son is awakened, the fate of the world is in jeopardy.",1
55,0,nailed it,nan,"nicole byer, jacques torres",united states,2021,tv pg,6,reality tv,"home bakers with a terrible track record take a crack at re creating edible masterpieces for a $10,000 prize. it s part reality contest, part hot mess.",2
56,1,naruto shippuden the movie blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,2011,tv 14,102,"action adventure, anime features, international movies","mistakenly accused of an attack on the fourth raikage, ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed.",1
57,1,naruto shippuden the movie bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,2008,tv pg,93,"action adventure, anime features, international movies","when strange ninjas ambush the village of konohagakure, it s up to adolescent ninja naruto and his long missing pal, sasuke, to save the planet.",1
58,1,naruto shippuden the movie the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,2009,tv pg,96,"action adventure, anime features, international movies","when four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",1
59,1,naruto shippuden the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,2007,tv pg,95,"action adventure, anime features, international movies","the adventures of adolescent ninja naruto uzumaki continue as he s tasked with protecting a priestess from a demon but to do so, he must die.",1
60,1,naruto shippuden the movie the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,2010,tv 14,85,"action adventure, anime features, international movies","when naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",1
61,1,naruto the movie 2 legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,2005,tv pg,97,"action adventure, anime features, international movies","while on a mission to return a missing pet, naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin.",1
62,1,naruto the movie 3 guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,2006,tv pg,95,"action adventure, anime features, international movies","exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son, hikaru, to the crescent moon kingdom.",1
63,1,naruto the movie ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,2004,tv pg,83,"action adventure, anime features, international movies","naruto, sasuke and sakura learn they ll be protecting an actress from being hurt while making her next film, but it turns out she s a princess.",1
64,1,nightbooks,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",nan,2021,tv pg,103,children family movies,scary story fan alex must tell a spine tingling tale every night or stay trapped with his new friend in a wicked witch s magical apartment forever.,1
67,0,saved by the bell,nan,"mark paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",united states,1994,tv pg,9,"kids tv, tv comedies","from middle school to college, best friends zack, kelly, slater, jessie, screech and lisa take on the highs and lows of life together in this hit series.",2
68,1,schumacher,"hanns bruno kammertons, vanessa nocker, michael wech",michael schumacher,nan,2021,tv 14,113,"documentaries, international movies, sports movies","through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven time formula 1 champion michael schumacher.",1
69,0,stories by rabindranath tagore,nan,nan,india,2015,tv pg,1,"international tv shows, tv dramas",the writings of nobel prize winner rabindranath tagore come to life in this collection of tales set in early 20th century bengal.,1
70,0,too hot to handle latino,nan,itati cantoral,nan,2021,tv ma,1,"international tv shows, reality tv, romantic tv shows","on this reality show, singles from latin america and spain are challenged to give up sex. but here, abstinence comes with a silver lining us$100,000.",1
72,0,jack whitehall travels with my father,nan,"jack whitehall, michael whitehall",united kingdom,2021,tv ma,5,"british tv shows, docuseries, international tv shows","jovial comic jack whitehall invites his stuffy father, michael, to travel with him through southeast asia in an attempt to strengthen their bond.",2
73,1,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun reminisce safaru, tobechukwu illbliss ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,2018,tv ma,182,"dramas, international movies","when a powerful businesswomans political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",1
74,0,the world s most amazing vacation rentals,nan,nan,nan,2021,tv pg,2,reality tv,"with an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",1
76,0,yowamushi pedal,nan,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",japan,2013,tv 14,1,"anime series, international tv shows","a timid, anime loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",1
78,1,tughlaq durbar,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",nan,2020,tv 14,145,"comedies, dramas, international movies",a budding politician has devious plans to rise in the ranks until an unexpected new presence begins to interfere with his every crooked move.,1
79,1,tughlaq durbar telugu,delhiprasad deenadayalan,"vijay sethupathi, parthiban, raashi khanna",nan,2021,tv 14,145,"comedies, dramas, international movies",a budding politician has devious plans to rise in the ranks until an unexpected new presence begins to interfere with his every crooked move.,1
81,1,kate,cedric nicolas troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,2021,r,106,action adventure,"slipped a fatal poison on her final job, a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2
82,0,lucifer,nan,"tom ellis, lauren german, kevin alejandro, d.b. woodside, lesley ann brandt, scarlett estevez, rachael harris, aimee garcia, tricia helfer, tom welling, jeremiah w. birkett, pej vahdat, michael gladis",united states,2021,tv 14,6,"crime tv shows, tv comedies, tv dramas","bored with being the lord of hell, the devil relocates to los angeles, where he opens a nightclub and forms a connection with a homicide detective.",2
83,0,metal shop masters,nan,jo koy,nan,2021,tv ma,1,reality tv,"on this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. only one will win a $50,000 prize.",1
84,1,omo ghetto the saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,2020,tv ma,147,"action adventure, comedies, dramas","twins are reunited as a good hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",1
86,1,prey,thomas sieben,"david kross, hanno koffler, maria ehrich, robert finster, yung ngo, klaus steinbacher, livia matthes, nellie thalbach",nan,2021,tv ma,87,"international movies, thrillers",a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,1
88,1,blood brothers malcolm x muhammad ali,marcus clarke,"malcolm x, muhammad ali",nan,2021,pg 13,96,"documentaries, sports movies","from a chance meeting to a tragic fallout, malcolm x and muhammad ali s extraordinary bond cracks under the weight of distrust and shifting ideals.",1
90,1,paradise hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzalez, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states",2019,tv ma,95,"sci fi fantasy, thrillers","uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. thats bad enough, but its real purpose is even worse.",3
91,1,the women and the murderer,"mona achache, patricia tourancheau",nan,france,2021,tv 14,92,"documentaries, international movies",this documentary traces the capture of serial killer guy georges through the tireless work of two women a police chief and a victim s mother.,1
92,0,into the night,nan,"pauline etienne, laurent capelluto, stefano cassetti, mehmet kurtulus, babetida sadjo, jan bijvoet, ksawery szlenkier, vincent londez, regina bikkinina, alba gaia kraghede bellugi, nabil mallat",belgium,2021,tv ma,2,"international tv shows, tv dramas, tv mysteries",passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,1
93,1,jj e,alexis almstrom,"elsa ohrn, mustapha aarab, jonay pineda skallak, magnus krepper, loreen, albin grenholm, simon mezher, elsa bergstrom terent, josef kadim, yohannes frezgi",nan,2021,tv ma,91,"dramas, international movies, romantic movies","elisabeth and john john live in the same city, but they inhabit different worlds. can a passionate first love break through class and cultural barriers",1
95,0,the circle,nan,michelle buteau,"united states, united kingdom",2021,tv ma,3,reality tv,"status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",3
96,1,if i leave here tomorrow a film about lynyrd skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",united states,2018,tv ma,97,"documentaries, music musicals","using interviews and archival footage, this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant.",2
99,0,on the verge,nan,"julie delpy, elisabeth shue, sarah jones, alexia landeau, mathieu demy, troy garity, timm sharp, giovanni ribisi","france, united states",2021,tv ma,1,"tv comedies, tv dramas","four women a chef, a single mom, an heiress and a job seeker dig into love and work, with a generous side of midlife crises, in pre pandemic la.",3
101,1,untold breaking point,"chapman way, maclain way",nan,united states,2021,tv ma,80,"documentaries, sports movies","under pressure to continue a winning tradition in american tennis, mardy fish faced mental health challenges that changed his life on and off the court.",2
102,0,countdown inspiration4 mission to space,jason hehir,nan,nan,2021,tv 14,1,"docuseries, science nature tv","from training to launch to landing, this all access docuseries rides along with the inspiration4 crew on the first all civilian orbital space mission.",1
103,1,shadow parties,yemi amodu,"jide kosoko, omotola jalade ekeinde, yemi blaq, sola sobowale, ken erics, toyin aimakhu, segun arinze, jibola dabo, rotimi salami, pa jimi solanke, rachael okonkwo, bassey okon, lucien morgan, magdalena korpas",nan,2020,tv ma,117,"dramas, international movies, thrillers",a family faces destruction in a long running conflict between communities that pits relatives against each other amid attacks and reprisals.,1
105,1,angamaly diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,2017,tv 14,128,"action adventure, comedies, dramas","after growing up amidst the gang wars of his hometown, vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",1
109,0,la casa de papel,nan,"ursula corbero, itziar ituno, alvaro morte, paco tous, enrique arce, pedro alonso, maria pedraza, alba flores, miguel herran, jaime lorente, esther acebo, darko peric, kiti manver",spain,2021,tv ma,5,"crime tv shows, international tv shows, spanish language tv shows",eight thieves take hostages and lock themselves in the royal mint of spain as a criminal mastermind manipulates the police to carry out his plan.,1
110,0,money heist from tokyo to berlin,"luis alfaro, javier gomez santander",nan,nan,2021,tv ma,1,"docuseries, international tv shows, spanish language tv shows",the filmmakers and actors behind money heist characters like tokyo and the professor talk about the emotional artistic process of filming the series.,1
112,1,worth,sara colangelo,"michael keaton, stanley tucci, amy ryan, shunori ramanathan, ato blankson wood, tate donovan, laura benanti, chris tardio",nan,2021,pg 13,119,dramas,"in the wake of the sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. based on real events.",1
113,1,afterlife of the party,stephen herek,"victoria justice, midori francis, robyn scott, adam garcia, timothy renouf, gloria garcia, myfanwy waring, spencer sutherland",nan,2021,tv pg,110,"comedies, romantic movies",cassie lives to party... until she dies in a freak accident. now this social butterfly needs to right her wrongs on earth if she wants to earn her wings.,1
114,1,anjaam,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",india,1994,tv 14,143,"dramas, international movies, thrillers","a wealthy industrialists dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",1
116,1,dhanak,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",india,2015,tv pg,114,"comedies, dramas, independent movies",a movie loving 10 year old and her blind little brother trek to meet indian superstar shah rukh khan for help in getting the boy an eye operation.,1
117,1,final account,luke holland,nan,"united kingdom, united states",2021,pg 13,94,documentaries,this documentary stitches together never before seen interviews with the last living generation of people who participated in hitler s third reich.,3
